timestamp,device_id,ph
2025-10-10 16:19:57.119064,esp32_leitor_serial,5.11
2025-10-10 16:20:03.662596,esp32_leitor_serial,7.19
2025-10-10 16:20:09.754851,esp32_leitor_serial,8.98
2025-10-10 16:20:15.834061,esp32_leitor_serial,4.04
2025-10-10 16:20:21.921937,esp32_leitor_serial,7.25
2025-10-10 16:20:28.005514,esp32_leitor_serial,5.7
2025-10-10 16:20:34.087750,esp32_leitor_serial,4.44
2025-10-10 16:20:42.046434,esp32_leitor_serial,7.5
2025-10-10 16:20:48.150143,esp32_leitor_serial,8.91
2025-10-10 16:20:54.234568,esp32_leitor_serial,8.96
2025-10-10 16:21:00.314198,esp32_leitor_serial,6.58
2025-10-10 16:21:06.442302,esp32_leitor_serial,6.33
2025-10-10 16:21:12.515790,esp32_leitor_serial,4.67
2025-10-10 16:21:18.597134,esp32_leitor_serial,3.92
2025-10-10 16:21:24.690414,esp32_leitor_serial,5.14
2025-10-10 16:21:30.788822,esp32_leitor_serial,4.56
2025-10-10 16:21:36.876484,esp32_leitor_serial,6.65
2025-10-10 16:21:42.966701,esp32_leitor_serial,8.23
2025-10-10 16:21:49.044034,esp32_leitor_serial,7.93
2025-10-10 16:21:55.099338,esp32_leitor_serial,5.16
2025-10-10 16:22:01.181551,esp32_leitor_serial,4.43
2025-10-10 16:22:07.261674,esp32_leitor_serial,9.42
2025-10-10 16:22:13.371969,esp32_leitor_serial,8.19
2025-10-10 16:22:19.456592,esp32_leitor_serial,7.04
2025-10-10 16:22:25.534463,esp32_leitor_serial,4.16
2025-10-10 16:22:31.622417,esp32_leitor_serial,4.94
2025-10-10 16:22:37.707760,esp32_leitor_serial,9.46
2025-10-10 16:22:43.794709,esp32_leitor_serial,7.28
2025-10-10 16:22:49.891859,esp32_leitor_serial,6.91
2025-10-10 16:22:56.512133,esp32_leitor_serial,4.11
2025-10-10 16:23:02.590993,esp32_leitor_serial,4.95
2025-10-10 16:23:08.691604,esp32_leitor_serial,5.83
2025-10-10 16:23:14.790929,esp32_leitor_serial,7.96
2025-10-10 16:23:20.873961,esp32_leitor_serial,3.98
2025-10-10 16:23:26.961907,esp32_leitor_serial,3.68
2025-10-10 16:23:33.068270,esp32_leitor_serial,4.75
2025-10-10 16:23:39.167700,esp32_leitor_serial,8.26
2025-10-10 16:23:45.268572,esp32_leitor_serial,7.07
2025-10-10 16:23:51.365357,esp32_leitor_serial,5.24
2025-10-10 16:23:57.454208,esp32_leitor_serial,3.66
2025-10-10 16:24:03.543095,esp32_leitor_serial,8.43
2025-10-10 16:24:09.637881,esp32_leitor_serial,8.05
2025-10-10 16:24:15.725298,esp32_leitor_serial,9.03
2025-10-10 16:24:21.804197,esp32_leitor_serial,8.17
2025-10-10 16:24:27.894284,esp32_leitor_serial,4.75
2025-10-10 16:24:33.979859,esp32_leitor_serial,5.62
2025-10-10 16:24:40.053618,esp32_leitor_serial,8.15
2025-10-10 16:24:46.123654,esp32_leitor_serial,5.13
2025-10-10 16:24:52.208160,esp32_leitor_serial,8.23
2025-10-10 16:24:58.329278,esp32_leitor_serial,6.32
2025-10-10 16:25:04.407344,esp32_leitor_serial,6.93
2025-10-10 16:25:10.468516,esp32_leitor_serial,6.32
2025-10-10 16:25:16.549493,esp32_leitor_serial,8.49
2025-10-10 16:25:22.639801,esp32_leitor_serial,3.97
2025-10-10 16:25:28.710889,esp32_leitor_serial,5.92
2025-10-10 16:25:34.808128,esp32_leitor_serial,5.26
2025-10-10 16:25:40.899174,esp32_leitor_serial,7.97
2025-10-10 16:25:46.985119,esp32_leitor_serial,8.44
2025-10-10 16:25:53.069984,esp32_leitor_serial,5.0
2025-10-10 16:25:59.168180,esp32_leitor_serial,3.8
2025-10-10 16:26:05.250495,esp32_leitor_serial,6.44
2025-10-10 16:26:11.328590,esp32_leitor_serial,8.5
2025-10-10 16:26:17.387290,esp32_leitor_serial,6.95
2025-10-10 16:26:23.467332,esp32_leitor_serial,9.46
2025-10-10 16:26:29.560776,esp32_leitor_serial,5.61
2025-10-10 16:26:35.650447,esp32_leitor_serial,8.41
2025-10-10 16:26:41.729265,esp32_leitor_serial,5.49
2025-10-10 16:26:47.813981,esp32_leitor_serial,3.58
2025-10-10 16:26:53.891194,esp32_leitor_serial,6.27
2025-10-10 16:26:59.979007,esp32_leitor_serial,9.17
2025-10-10 16:50:58.613270,esp32_leitor_serial_para_testes,9.63
2025-10-10 16:51:05.008141,esp32_leitor_serial_para_testes,8.13
2025-10-10 16:51:11.113256,esp32_leitor_serial_para_testes,5.26
2025-10-10 16:51:17.238155,esp32_leitor_serial_para_testes,6.97
2025-10-10 16:51:23.313769,esp32_leitor_serial_para_testes,9.2
2025-10-10 16:51:29.426301,esp32_leitor_serial_para_testes,6.91
2025-10-10 16:51:35.511237,esp32_leitor_serial_para_testes,6.93
2025-10-10 16:51:41.652096,esp32_leitor_serial_para_testes,4.51
2025-10-10 16:51:47.796469,esp32_leitor_serial_para_testes,6.77
2025-10-10 16:51:53.884784,esp32_leitor_serial_para_testes,4.9
2025-10-10 16:51:59.992165,esp32_leitor_serial_para_testes,9.05
2025-10-10 16:52:06.061276,esp32_leitor_serial_para_testes,7.33
2025-10-10 16:52:12.139656,esp32_leitor_serial_para_testes,9.59
2025-10-10 16:52:18.221734,esp32_leitor_serial_para_testes,5.29
2025-10-10 16:52:24.295606,esp32_leitor_serial_para_testes,7.36
2025-10-10 16:52:30.430887,esp32_leitor_serial_para_testes,4.18
2025-10-10 16:52:36.522199,esp32_leitor_serial_para_testes,3.87
2025-10-10 16:52:42.594856,esp32_leitor_serial_para_testes,5.14
2025-10-10 16:52:48.664494,esp32_leitor_serial_para_testes,4.08
2025-10-10 16:52:54.721074,esp32_leitor_serial_para_testes,8.87
2025-10-10 16:53:00.816398,esp32_leitor_serial_para_testes,7.59
